"","ROI","Area","Mean","Min","Max","Channel","Frame","Time","SensorName","ROIName"
"1",1,1068.017,9.22,0,50,1,1,0,"CFP","Airpore Old 1"
"2",2,1068.017,10.049,0,50,1,1,0,"CFP","Airpore Young 1"
"3",3,1068.017,9.176,0,39,1,1,0,"CFP","Airpore Young 2"
"4",4,1068.017,10.06,0,46,1,1,0,"CFP","Airpore old 2"
"5",5,2248.08,6.27,0,35,1,1,0,"CFP","Background"
"6",1,1068.017,44.539,7,127,2,1,0,"RFP","Airpore Old 1"
"7",2,1068.017,48.239,7,121,2,1,0,"RFP","Airpore Young 1"
"8",3,1068.017,47.683,11,118,2,1,0,"RFP","Airpore Young 2"
"9",4,1068.017,48.065,7,235,2,1,0,"RFP","Airpore old 2"
"10",5,2248.08,43.931,3,255,2,1,0,"RFP","Background"
"11",1,1068.017,9.384,0,46,1,2,3,"CFP","Airpore Old 1"
"12",2,1068.017,10.019,0,39,1,2,3,"CFP","Airpore Young 1"
"13",3,1068.017,9.259,0,41,1,2,3,"CFP","Airpore Young 2"
"14",4,1068.017,10.212,0,46,1,2,3,"CFP","Airpore old 2"
"15",5,2248.08,6.54,0,35,1,2,3,"CFP","Background"
"16",1,1068.017,44.043,7,149,2,2,3,"RFP","Airpore Old 1"
"17",2,1068.017,48.305,11,131,2,2,3,"RFP","Airpore Young 1"
"18",3,1068.017,47.376,3,108,2,2,3,"RFP","Airpore Young 2"
"19",4,1068.017,48.047,8,124,2,2,3,"RFP","Airpore old 2"
"20",5,2248.08,43.521,3,132,2,2,3,"RFP","Background"
"21",1,1068.017,9.529,0,46,1,3,6,"CFP","Airpore Old 1"
"22",2,1068.017,9.923,0,39,1,3,6,"CFP","Airpore Young 1"
"23",3,1068.017,9.65,0,42,1,3,6,"CFP","Airpore Young 2"
"24",4,1068.017,10.401,0,61,1,3,6,"CFP","Airpore old 2"
"25",5,2248.08,6.587,0,40,1,3,6,"CFP","Background"
"26",1,1068.017,44.488,3,119,2,3,6,"RFP","Airpore Old 1"
"27",2,1068.017,48.108,12,113,2,3,6,"RFP","Airpore Young 1"
"28",3,1068.017,47.56,3,111,2,3,6,"RFP","Airpore Young 2"
"29",4,1068.017,47.404,7,128,2,3,6,"RFP","Airpore old 2"
"30",5,2248.08,43.503,3,222,2,3,6,"RFP","Background"
"31",1,1068.017,9.431,0,74,1,4,9,"CFP","Airpore Old 1"
"32",2,1068.017,9.993,0,42,1,4,9,"CFP","Airpore Young 1"
"33",3,1068.017,9.328,0,52,1,4,9,"CFP","Airpore Young 2"
"34",4,1068.017,10.459,0,51,1,4,9,"CFP","Airpore old 2"
"35",5,2248.08,6.597,0,40,1,4,9,"CFP","Background"
"36",1,1068.017,43.769,11,99,2,4,9,"RFP","Airpore Old 1"
"37",2,1068.017,47.622,11,245,2,4,9,"RFP","Airpore Young 1"
"38",3,1068.017,46.053,7,115,2,4,9,"RFP","Airpore Young 2"
"39",4,1068.017,47.555,7,135,2,4,9,"RFP","Airpore old 2"
"40",5,2248.08,43.139,3,130,2,4,9,"RFP","Background"
"41",1,1068.017,9.336,0,43,1,5,12,"CFP","Airpore Old 1"
"42",2,1068.017,10.384,0,55,1,5,12,"CFP","Airpore Young 1"
"43",3,1068.017,9.413,0,44,1,5,12,"CFP","Airpore Young 2"
"44",4,1068.017,10.191,0,46,1,5,12,"CFP","Airpore old 2"
"45",5,2248.08,6.545,0,35,1,5,12,"CFP","Background"
"46",1,1068.017,43.315,7,103,2,5,12,"RFP","Airpore Old 1"
"47",2,1068.017,46.957,11,129,2,5,12,"RFP","Airpore Young 1"
"48",3,1068.017,45.952,3,116,2,5,12,"RFP","Airpore Young 2"
"49",4,1068.017,46.272,11,122,2,5,12,"RFP","Airpore old 2"
"50",5,2248.08,42.169,3,118,2,5,12,"RFP","Background"
"51",1,1068.017,9.336,0,47,1,6,15,"CFP","Airpore Old 1"
"52",2,1068.017,10.131,0,40,1,6,15,"CFP","Airpore Young 1"
"53",3,1068.017,9.484,0,39,1,6,15,"CFP","Airpore Young 2"
"54",4,1068.017,10.388,0,63,1,6,15,"CFP","Airpore old 2"
"55",5,2248.08,6.472,0,38,1,6,15,"CFP","Background"
"56",1,1068.017,42.509,11,103,2,6,15,"RFP","Airpore Old 1"
"57",2,1068.017,46.243,7,156,2,6,15,"RFP","Airpore Young 1"
"58",3,1068.017,45.573,8,255,2,6,15,"RFP","Airpore Young 2"
"59",4,1068.017,46.867,11,173,2,6,15,"RFP","Airpore old 2"
"60",5,2248.08,41.782,3,108,2,6,15,"RFP","Background"
"61",1,1068.017,9.509,0,50,1,7,18,"CFP","Airpore Old 1"
"62",2,1068.017,10.048,0,46,1,7,18,"CFP","Airpore Young 1"
"63",3,1068.017,9.401,0,46,1,7,18,"CFP","Airpore Young 2"
"64",4,1068.017,10.683,0,43,1,7,18,"CFP","Airpore old 2"
"65",5,2248.08,6.47,0,35,1,7,18,"CFP","Background"
"66",1,1068.017,42.317,11,124,2,7,18,"RFP","Airpore Old 1"
"67",2,1068.017,46.503,7,111,2,7,18,"RFP","Airpore Young 1"
"68",3,1068.017,45.772,3,122,2,7,18,"RFP","Airpore Young 2"
